OBJECTID,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,X,Y,RENDER
8014,2023/05/15 23:00:00+00,0833,3,Slight,E,Elderly pedestrian,1,1,1,0,0,0,1,362656,174686,E
8015,2023/05/15 23:00:00+00,0415,2,Serious,J1,Turning Movement from major road,2,1,0,1,0,0,0,353177,178602,CYC
8016,2023/05/16 23:00:00+00,2100,2,Serious,J1,Turning Movement from major road,2,1,0,0,0,0,0,356996,177790,CARS
8017,2023/06/02 23:00:00+00,1418,3,Slight,J,Turning movement – unidentified priority,3,2,0,2,0,0,0,358638,172125,CYC
8018,2023/05/25 23:00:00+00,2323,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,360649,173956,A
8019,2023/06/01 23:00:00+00,1945,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,357242,177253,CYC
8020,2023/05/23 23:00:00+00,1902,3,Slight,NONE,Other,2,1,0,0,0,0,1,356797,167524,CARS
8021,2023/05/26 23:00:00+00,2011,3,Slight,J,Turning movement – unidentified priority,2,1,0,0,1,0,0,361655,168526,MCYC
8022,2023/05/26 23:00:00+00,1405,3,Slight,J1,Turning Movement from major road,3,1,0,0,1,0,0,357813,168036,MCYC
8023,2023/05/28 23:00:00+00,0001,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,363843,174281,A
8024,2023/05/31 23:00:00+00,1830,3,Slight,A,Adult pedestrian,1,1,1,0,1,0,0,358852,172891,A
8025,2023/05/31 23:00:00+00,1728,3,Slight,J,Turning movement – unidentified priority,2,1,0,0,0,0,0,358639,172113,CARS
8026,2023/06/01 23:00:00+00,1420,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,357550,179235,MCYC
8027,2023/06/04 23:00:00+00,1332,3,Slight,J2,Turning Movement from minor road,3,1,0,0,1,0,0,363326,169920,MCYC
8028,2023/05/18 23:00:00+00,2220,3,Slight,NONE,Other,2,1,0,1,0,0,0,359019,174997,CYC
8029,2023/06/04 23:00:00+00,1748,3,Slight,J,Turning movement – unidentified priority,2,1,0,1,0,0,0,361363,169846,CYC
8030,2023/06/06 23:00:00+00,0856,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,357068,169804,CARS
8031,2023/06/06 23:00:00+00,2030,3,Slight,E,Elderly pedestrian,1,1,1,0,1,0,1,357394,169789,E
8032,2023/10/05 23:00:00+00,2138,1,Fatal,NONE,Other,1,1,0,0,1,0,0,362542,172966,MCYC
8033,2023/10/14 23:00:00+00,1700,3,Slight,O,Overtaking,2,1,0,0,0,0,0,361811,174014,CARS
